start_time_lst,end_time_lst,benzene,tvoc,flags,units,deployment_id,deployment_name,pad_name,pad_lat,pad_lon,camml_lat,camml_lon,operational_phase,distance_to_source_ft,source_direction_degrees,gc_end_time,gc_id,n,RH,T(ambient),P(barometric),SolarRadiation,PM2.5(LTP),PM10(LTP),CH4,NO,NO2,NOx,O3,T(shelter),CO2,u,v,tvoc_low,tvoc_high,WindSpeed,WindDirection
2019-08-24T03:30:00Z,2019-08-24T04:15:00Z,0.242936,20.81511111111111,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T04:15:00Z,3846,45,49.291111111111114,21.497777777777777,641.920111111111,0.030088888888888887,8.384444444444444,36.98888888888889,2.1386666666666665,0.5748666666666666,6.689533333333333,7.264911111111111,41.4356,24.784444444444443,444.40999999999997,-2.446381414531037,1.554834236762888,20.81511111111111,20.81511111111111,2.8986706486203135,2.5754321314936184
2019-08-24T04:28:00Z,2019-08-24T05:12:00Z,0.971014,13.174027272727272,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T05:12:00Z,3847,44,68.356,20.5,640.9699318181819,0.81375,9.779545454545454,21.927272727272726,2.0699318181818183,0.5048409090909091,4.076340909090909,4.581318181818182,39.996818181818185,24.829545454545453,436.05,-1.4600130703175798,-0.36743685481032196,13.174027272727272,13.174027272727272,1.5055391086820256,-2.8950458296927732
2019-08-24T05:25:00Z,2019-08-24T06:09:00Z,0.142971,19.612902272727272,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T06:09:00Z,3848,44,67.55365853658536,19.33863636363636,642.920590909091,0.14788636363636365,6.472727272727273,15.172727272727274,2.1997954545454546,0.5104772727272727,4.865681818181818,5.376340909090909,39.73490909090909,24.829545454545453,441.0954545454545,-2.585789093982258,-0.7840893807661036,19.612902272727272,19.612902272727272,2.7020550319317627,-2.847175000883956
2019-08-24T06:22:00Z,2019-08-24T07:07:00Z,0.128073,19.713564444444444,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T07:07:00Z,3849,45,72.47333333333333,18.384444444444444,643.1581777777777,0,6.064444444444445,11.959999999999999,2.1368222222222224,0.5306444444444445,5.0886,5.619822222222222,37.06062222222222,25.031111111111112,442.49666666666667,-3.8971310784455544,-0.13053263360294973,19.713564444444444,19.713564444444444,3.8993165312682083,-3.1081106254962925
2019-08-24T07:20:00Z,2019-08-24T08:04:00Z,0.0757855,19.658,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T08:04:00Z,3850,44,81.43409090909091,16.43181818181818,643.122,0,5.404545454545454,7.1045454545454545,2.1400227272727275,0.5174318181818182,4.455522727272728,4.9735,41.53068181818182,25.102272727272727,437.1636363636364,-6.101505125456294,-0.2613919339435902,19.658,19.658,6.10710164800785,-3.0987782672484347
2019-08-24T08:17:00Z,2019-08-24T09:01:00Z,0.063311,20.304786363636364,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T09:01:00Z,3851,44,82.30454545454546,15.663157894736843,640.3767045454546,0.24729545454545454,4.5227272727272725,5.6886363636363635,2.006590909090909,0.4435454545454546,3.7670454545454546,4.210727272727273,45.33229545454545,25.088636363636365,434.3454545454546,-6.773805346643185,0.514239823946824,20.304786363636364,20.304786363636364,6.7932968042581985,3.0658220482136107
2019-08-24T09:14:00Z,2019-08-24T09:59:00Z,0.100385,20.336571111111112,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T09:59:00Z,3852,45,85.56888888888889,15.224444444444444,643.2643777777778,0,5.035555555555556,6.38,2.038311111111111,0.5118,3.3299555555555553,3.8424222222222224,42.720222222222226,25.335555555555555,436.16333333333336,-4.141446371496532,0.05904821640857065,20.336571111111112,20.336571111111112,4.141867301090516,3.1273357466166356
2019-08-24T10:12:00Z,2019-08-24T10:56:00Z,0.0921483,20.574295454545453,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T10:56:00Z,3853,44,89.25909090909092,14.711363636363636,642.9416136363636,0,5.6045454545454545,7.379545454545455,2.0604545454545455,0.5783863636363636,4.016477272727273,4.595727272727273,36.1035,25.413636363636364,438.6340909090909,-1.8102779718490263,0.06649454918833009,20.574295454545453,20.574295454545453,1.8114987884162614,3.104877480985024
2019-08-24T11:09:00Z,2019-08-24T11:54:00Z,0.160854,20.712857777777778,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T11:54:00Z,3854,45,89.88139534883722,14.9875,642.5174444444444,1.1704222222222223,7.151111111111111,9.811111111111112,2.0979111111111113,0.7524,5.270888888888889,6.024222222222222,32.184155555555556,25.58222222222222,442.48333333333335,0.8414610604165655,-0.6778845954986245,20.712857777777778,20.712857777777778,1.0805481206367926,-0.6781488302500241
2019-08-24T12:07:00Z,2019-08-24T12:51:00Z,0.0566167,20.641825,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T12:51:00Z,3855,44,88.70454545454545,15.677272727272726,642.1015454545454,11.618318181818182,8.856818181818182,12.872727272727273,2.2988636363636363,0.8442954545454545,9.245431818181817,10.090522727272727,25.67534090909091,25.44318181818182,446.5,0.4595843486533872,-0.9890245674172424,20.641825,20.641825,1.0905903761183764,-1.1357981260161334
2019-08-24T13:04:00Z,2019-08-24T13:49:00Z,0.10526,20.083893333333332,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T13:49:00Z,3856,45,84.70222222222222,16.38222222222222,642.5438666666666,165.89886666666666,10.813333333333333,15.995555555555555,2.092711111111111,1.5849111111111112,10.500666666666667,12.082644444444444,30.201644444444444,25.497777777777777,441.5855555555556,0.929023443886672,-1.1924624206187602,20.083893333333332,20.083893333333332,1.5116385758107014,-0.9089423785209686
2019-08-24T14:02:00Z,2019-08-24T14:46:00Z,0.0584898,19.835815909090908,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T14:46:00Z,3857,44,76.66136363636363,17.975,642.7542727272727,365.6796136363636,10.045454545454545,19.936363636363637,2.044159090909091,1.5216590909090908,6.687590909090909,8.209931818181818,36.87406818181818,25.28409090909091,436.16818181818184,0.14753794442221738,-1.5674418973006756,19.835815909090908,19.835815909090908,1.5743702062913523,-1.476946260121086
2019-08-24T14:59:00Z,2019-08-24T15:43:00Z,0.0892507,17.06630909090909,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T15:43:00Z,3858,44,72.42558139534884,19.12142857142857,642.6658636363636,567.6967727272727,8.945454545454545,14.675,2.0712045454545454,1.2128863636363636,5.386772727272727,6.5997045454545455,40.13931818181818,24.888636363636365,433.3159090909091,-0.6527884630806473,-2.1437892991322247,17.06630909090909,17.06630909090909,2.2409741936499463,-1.8663784042275546
2019-08-24T16:53:00Z,2019-08-24T17:38:00Z,0.0596519,13.948051111111111,NA,ppbV,15,Extraction_Vetting_Mill Out,Vetting,40.4,-104.66,40.41,-104.66,Mill Out,1589,196,2019-08-24T17:38:00Z,3859,45,59.471111111111114,22.32,642.5506222222223,838.0420222222223,8.051111111111112,16,2.0993333333333335,1.666911111111111,4.8232888888888885,6.4326,47.162533333333336,24.486666666666668,431.24555555555554,-2.0974899096023765,-0.15100784540479512,13.948051111111111,13.948051111111111,2.1029187550301565,-3.0697221043948595
