StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],n-pentane_[ppbV],trans-2-pentene_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],"2,3-dimethyl-butane_[ppbV]",3-methyl-pentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",o-xylene_[ppbV],n-nonane_[ppbV],isopropyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_[ppbV]",p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],n-decane_[ppbV]
06/10/2017 1:52,06/10/2017 2:22,0.544,0.435,14.002,0.09,6.564,1.548,,3.696,,2.235,,0.33,1.87,,0.134,,,1.466,0.444,1.111,0.32,0.323,,0.111,0.202,0.194,0.349,0.308,0.836,0.302,0.06,0.058,0.084,,0.267,0.086,,0.057,,,,,
06/10/2017 3:02,06/10/2017 3:32,0.522,0.331,7.308,,2.933,0.531,,1.285,,0.948,,0.243,0.685,,,,,0.488,0.122,0.286,0.132,,,,0.056,0.067,0.085,0.072,0.519,0.122,,,,,0.142,,,0.066,,,,,0.085
06/10/2017 4:13,06/10/2017 4:43,0.572,0.434,10.872,0.054,4.208,0.632,,1.665,,1.336,,0.209,0.824,,,,,0.593,0.151,0.331,0.142,,,,0.073,0.095,0.089,0.069,0.637,0.277,,,,,0.182,0.062,,0.053,,,,,
06/10/2017 5:21,06/10/2017 5:52,0.726,0.65,11.209,0.095,4.406,0.792,,1.884,,1.383,,0.191,0.866,,0.052,,,0.604,0.174,0.371,0.168,0.207,,,0.081,0.092,0.12,0.107,0.67,0.218,,,0.061,,0.279,0.109,,,,,0.073,,
06/10/2017 6:30,06/10/2017 7:00,0.869,0.365,17.606,0.136,7.617,2.171,,4.167,0.074,2.387,,0.424,2.035,0.078,0.155,,,1.553,0.488,1.296,0.354,0.423,,,0.204,0.217,0.397,0.362,0.752,0.1,0.072,0.062,0.102,,0.261,0.085,,,,,0.059,,
06/10/2017 7:38,06/10/2017 8:08,0.402,0.369,9.133,,4.214,1.095,,2.439,,1.357,,0.414,1.197,,0.09,,,0.997,0.298,0.817,0.207,0.288,,,0.121,0.137,0.255,0.234,0.393,0.169,,,0.075,,,,,0.064,,,,,
06/10/2017 8:43,06/10/2017 9:13,0.131,0.156,1.607,,0.695,0.074,,0.27,,0.26,,0.135,0.132,,,,,0.165,,0.07,,,,,,,,,0.067,,,,,,,,,0.073,,,,,
06/10/2017 9:50,06/10/2017 10:20,0.326,0.297,2.51,,1.19,0.236,,0.722,,0.668,,0.075,0.39,,,,,0.301,,0.13,0.063,0.117,,,,,,,0.171,0.06,,,,,,,,0.087,,,,,
06/10/2017 10:56,06/10/2017 11:26,0.145,0.306,9.863,,6.658,1.045,,3.003,,0.847,,0.077,0.867,,,,,0.344,0.06,0.252,0.089,0.154,,,,,,,,,,,,,,,,0.117,,,,,
06/10/2017 12:09,06/10/2017 12:39,,0.11,5.119,,3.712,0.527,,1.623,,0.442,,,0.424,,,,,0.2,,0.117,,,,,,,,,,,,,,,,,,0.1,,,,,
06/10/2017 13:26,06/10/2017 13:56,,,3.581,,2.206,0.253,,0.887,,0.321,,0.108,0.245,,,,,0.159,,0.068,,,,,,,,,,,,,,,,,,0.092,,,,,
06/10/2017 14:45,06/10/2017 15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017 12:00,06/12/2017 12:30,,,1.204,,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2017 13:03,06/12/2017 13:33,,,1.248,,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
