StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],trans-2-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],n-pentane_[ppbV],cis-2-pentene_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]","2,3-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],3-methyl-pentane_[ppbV],1-hexene_[ppbV],methyl-cyclopentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]","2,3,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",styrene_[ppbV],o-xylene_[ppbV],n-nonane_[ppbV],isopropyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]",n-propyl-benzene_[ppbV],"1,2,4-trimethyl-benzene_[ppbV]",m-ethyl-toluene_[ppbV],p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],"1,2,3-trimethyl-benzene_[ppbV]",n-decane_[ppbV],m-diethyl-benzene_[ppbV]
07/29/2017 6:46:00,07/29/2017 7:16:00,0.415,0.185,12.197,0.063,8.636,2.126,,4.685,0.075,1.592,1.878,,0.085833125,2.01627875,,0.11835375,0.345,,0.261,0.28,0.66,0.146,0.188,,,0.231,0.138,0.22,0.221,0.371,,,,0.055,0.058,,,,0.139,,,,,,,,,0.064,,,,
07/29/2017 7:46:00,07/29/2017 8:16:00,0.789,0.431,63.131,0.187,64.673,15.808,,40.267,0.621,13.679,13.335,0.069824854,0.683640271,16.8834085,,0.883867396,2.707,0.326,2.009,2.119,5.361,0.68,1.729,0.253,0.182,1.746,0.757,2.073,1.976,1.633,,,0.367,0.386,0.559,,0.497,,0.214,0.168,,,,,0.06,,,0.092,,,,
07/29/2017 8:46:00,07/29/2017 9:16:00,1.171,0.494,27.55,0.212,25.756,5.96,,15.014,0.228,5.16,4.743,,0.256044792,6.272423594,,0.341078615,0.949,0.101,0.719,0.786,1.939,0.334,0.584,0.06,0.07,0.604,,1.037,0.647,0.792,,,,0.134,0.214,,0.147,,0.116,0.059,,,,,,,,,,,,
07/29/2017 9:46:00,07/29/2017 10:16:00,0.859,0.349,52.026,0.18,50.523,12.143,,31.798,0.48,10.822,10.425,,0.5440325,13.1409255,0.1348225,0.692405,2.11,0.289,1.551,1.638,4.193,0.568,1.3,0.204,0.111,1.207,0.53,1.663,1.438,0.986,,,0.296,0.276,0.454,,0.263,,0.182,0.139,,,,,,,,0.075,,,,
07/29/2017 10:46:00,07/29/2017 11:16:00,0.432,0.231,35.508,0.085,30.379,6.537,,17.415,0.268,5.951,5.406,,0.278337469,6.90911799,,0.36934551,1.058,0.125,0.796,0.844,2.14,0.324,0.647,0.091,0.073,0.624,0.271,0.79,0.743,0.536,,,0.135,0.143,0.213,,0.081,,0.096,0.065,,,,,,,,0.063,,,,
07/29/2017 11:45:00,07/29/2017 12:15:00,0.318,0.164,28.307,0.058,23.955,4.796,,12.346,0.182,4.208,3.55,,0.178894792,4.384566146,0.145471875,0.228070312,0.638,0.067,0.475,0.522,1.288,0.215,0.364,,,0.388,,0.449,0.42,0.332,,,0.085,0.08,0.128,,,,,,,,,,,,,,,,,
07/29/2017 12:45:00,07/29/2017 13:15:00,0.297,0.2,5.487,,3.746,0.69,,1.716,,0.575,0.679,,,0.658571062,0.115270594,,0.108,,0.084,0.092,0.236,0.098,,,,0.067,,0.065,0.062,0.183,,,,,,,,,,,,,,,,,,,,,,
07/29/2017 15:44:00,07/29/2017 16:14:00,0.281,0.213,1.473,,0.632,0.139,,0.349,,0.114,0.371,,,0.172403,0.20542825,,,,,,0.085,0.066,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,
07/29/2017 16:44:00,07/29/2017 17:14:00,0.29,0.294,2.198,0.069,1.508,0.447,,0.759,,0.254,0.771,,,0.425126146,,0.066258906,0.064,,0.065,0.068,0.149,0.06,,,,0.059,,,,0.223,0.077,,,,,,,,,,,,,,,,,,,,,
07/29/2017 17:43:00,07/29/2017 18:13:00,0.419,0.219,11.376,0.055,9.14,1.758,,4.527,0.064,1.535,1.377,,0.065900167,1.60578625,,0.101112917,0.215,,0.16,0.19,0.465,0.134,0.11,,,0.12,,0.137,0.143,0.227,,,,,,,,,0.053,,,,,,,,,,,,,
