StartTime_[LST],EndTime_[LST],WindSpeed_[m/s],WindDirection_[degrees],RH_[percent],T(ambient)_[C],P(barometric)_[mmHG],T(shelter)_[C],SolarRadiation_[W/m2],VOC(pid)_[ppbV],PM2.5(LTP)_[ug/m3],PM10(LTP)_[ug/m3],CO2_[ppmV],CH4_[ppmV],NO_[ppbV],NO2_[ppbV],NOx_[ppbV],O3_[ppbV]
05/06/2019 11:50:00,05/06/2019 11:50:59,2.86,124.9,54.9,17.5,640.994,24.3,915.551,7.3333,18.1,32.9,488.65,2.075,0.944,2.508,3.452,29.15
05/06/2019 11:51:00,05/06/2019 11:51:59,3.09,154,53,17.3,640.97,24.4,905.492,7.3429,18.4,35.4,484.55,2.075,0.988,2.572,3.56,29.7
05/06/2019 11:52:00,05/06/2019 11:52:59,3.25,149.3,54.1,17,640.946,24.5,956.542,7.3,17.4,24.3,483.85,2.076,1.031,2.623,3.663,29.816
05/06/2019 11:53:00,05/06/2019 11:53:59,3.29,127.6,54.7,17,640.924,24.6,935.154,7.2286,17.4,24.3,489.25,2.081,1.067,2.67,3.74,29.416
05/06/2019 11:54:00,05/06/2019 11:54:59,3.16,107.2,54.9,17,640.902,24.6,875.564,7.18,17.3,25.9,492.35,2.083,1.088,2.712,3.8,28.316
05/06/2019 11:55:00,05/06/2019 11:55:59,3.11,84.6,55,16.6,640.881,24.7,860.867,7.1857,18.4,30.3,487.05,2.079,1.104,2.745,3.849,27.283
05/06/2019 11:56:00,05/06/2019 11:56:59,3.03,81.1,55.7,16.5,640.862,24.7,890.39,7.1,18.7,31.2,482.75,2.076,1.099,2.774,3.874,28.35
05/06/2019 11:57:00,05/06/2019 11:57:59,2.8,73.6,55.4,16.9,640.844,24.8,871.123,7.1,19,30.2,477.35,2.072,1.095,2.826,3.922,28.516
05/06/2019 11:58:00,05/06/2019 11:58:59,2.59,153.8,55.2,17.3,640.83,24.8,811.084,7.0875,18.4,32.2,473.85,2.069,1.079,2.855,3.933,27.866
05/06/2019 11:59:00,05/06/2019 11:59:59,2.47,161.7,53.6,17.3,640.818,24.8,891.253,7.0625,17.9,34,470.25,2.066,1.053,2.862,3.915,27.5
05/06/2019 12:00:00,05/06/2019 12:00:59,2.45,111.3,53.2,17,640.81,24.8,913.681,7.05,17.3,27.1,466.95,2.064,1.031,2.88,3.911,27.283
05/06/2019 12:01:00,05/06/2019 12:01:59,2.45,151.7,53.3,17.1,640.804,24.8,946.68,6.9875,17.4,25.4,463.65,2.061,1.009,2.907,3.916,27.316
05/06/2019 12:02:00,05/06/2019 12:02:59,2.52,157.4,53,17.4,640.8,24.8,948.662,6.9667,17.1,27.2,461.15,2.059,0.983,2.933,3.917,26.75
05/06/2019 12:03:00,05/06/2019 12:03:59,2.62,150.4,52.9,17.2,640.796,24.7,906.428,7.0167,17.3,27.9,458.85,2.057,0.969,2.966,3.934,26.466
05/06/2019 12:04:00,05/06/2019 12:04:59,2.84,120.8,53.1,17.1,640.792,24.7,911.46,6.9714,17.4,29.7,456.45,2.055,0.967,2.995,3.962,25.5
05/06/2019 12:05:00,05/06/2019 12:05:59,2.92,141.5,52.4,17.1,640.785,24.7,943.328,6.8667,17.1,29.8,453.65,2.052,0.965,2.979,3.944,25.5
05/06/2019 12:06:00,05/06/2019 12:06:59,2.75,128.6,53,17.1,640.776,24.7,905.97,6.85,17,28.6,451.55,2.05,0.973,2.955,3.927,26.016
05/06/2019 12:07:00,05/06/2019 12:07:59,2.81,144.7,52.8,17.2,640.766,24.6,899.779,6.8333,17.2,27.1,449.35,2.049,0.968,2.929,3.897,26.3
05/06/2019 12:08:00,05/06/2019 12:08:59,2.82,142.1,53.5,17.1,640.754,24.6,898.707,6.8375,17.2,23.8,447.35,2.047,0.963,2.899,3.862,27.216
05/06/2019 12:09:00,05/06/2019 12:09:59,2.84,116.1,53.3,17.3,640.743,24.6,902.895,7,17,23.4,445.65,2.046,0.97,2.864,3.836,26.666
05/06/2019 12:10:00,05/06/2019 12:10:59,2.9,85.1,53.1,17.2,640.732,24.6,913.446,6.9429,17.3,24,444.05,2.046,0.991,2.835,3.827,25.916
05/06/2019 12:11:00,05/06/2019 12:11:59,2.9,153,52.2,17.6,640.723,24.7,942.555,6.96,17.1,24.5,442.85,2.045,1.022,2.811,3.833,24.933
05/06/2019 12:12:00,05/06/2019 12:12:59,2.96,172.3,53,17.4,640.716,24.7,903.229,6.9833,17.2,29.3,441.65,2.045,1.064,2.804,3.868,23.35
05/06/2019 12:13:00,05/06/2019 12:13:59,3.08,163,52.9,17.5,640.71,24.8,942.201,7,16.6,31.1,440.55,2.045,1.114,2.819,3.934,21.95
05/06/2019 12:14:00,05/06/2019 12:14:59,3.01,156.4,53.8,17.3,640.706,24.8,947.069,7.0429,16.8,29.6,439.75,2.044,1.17,2.853,4.028,21.166
05/06/2019 12:15:00,05/06/2019 12:15:59,2.91,155.9,54.3,17.5,640.704,24.9,906.286,7.05,17.2,27.5,438.65,2.043,1.267,2.893,4.161,20.233
05/06/2019 12:16:00,05/06/2019 12:16:59,3.08,152.7,52.6,17.9,640.704,24.9,953.511,7.2286,16.8,27.7,437.55,2.043,1.373,2.939,4.312,19.366
05/06/2019 12:17:00,05/06/2019 12:17:59,3.07,120.1,53.6,17.8,640.706,25,957.895,7.1,16.1,26.1,436.75,2.042,1.441,2.996,4.438,19.516
05/06/2019 12:18:00,05/06/2019 12:18:59,3.15,88.9,54.7,17.4,640.709,25.1,933.113,7.15,16.9,30.3,435.75,2.042,1.487,3.04,4.527,20.933
05/06/2019 12:19:00,05/06/2019 12:19:59,3.24,102.4,54.3,17.5,640.713,25.1,939.477,7.1714,19.8,39.8,434.85,2.043,1.503,3.071,4.575,22.15
05/06/2019 12:20:00,05/06/2019 12:20:59,3.16,129.7,54,17.7,640.718,25.2,936.87,7.2167,21.4,45.8,434.25,2.043,1.494,3.098,4.59,23.45
05/06/2019 12:21:00,05/06/2019 12:21:59,3.16,153.8,53.3,17.7,640.723,25.1,946.419,7.2125,18,43.7,433.95,2.043,1.456,3.131,4.582,24.183
