start,TVOCs,PIDtype
2021-02-06 9:04:30,122.85,SPOD
2021-02-06 9:05:00,123.07,SPOD
2021-02-06 9:05:30,123.2,SPOD
2021-02-06 9:06:00,122.95,SPOD
2021-02-06 9:06:30,122.8,SPOD
2021-02-06 9:07:00,122.93,SPOD
2021-02-06 9:07:31,122.84,SPOD
2021-02-06 9:08:01,122.87,SPOD
2021-02-06 9:08:31,122.87,SPOD
2021-02-06 9:09:01,122.86,SPOD
2021-02-06 9:09:31,122.73,SPOD
2021-02-06 9:10:01,122.48,SPOD
2021-02-06 9:10:31,122.45,SPOD
2021-02-06 9:11:02,122.37,SPOD
2021-02-06 9:11:32,122.28,SPOD
2021-02-06 9:12:03,122.3,SPOD
2021-02-06 9:12:33,122.1,SPOD
2021-02-06 9:13:03,122.4,SPOD
2021-02-06 9:13:33,122.4,SPOD
2021-02-06 9:14:03,122.44,SPOD
2021-02-06 9:14:33,122.41,SPOD
2021-02-06 9:15:03,122.46,SPOD
2021-02-06 9:15:33,122.55,SPOD
2021-02-06 9:16:05,122.64,SPOD
2021-02-06 9:16:43,122.67,SPOD
2021-02-06 9:17:13,122.84,SPOD
2021-02-06 9:17:43,123.21,SPOD
2021-02-06 9:18:14,123.32,SPOD
2021-02-06 9:18:44,123.17,SPOD
2021-02-06 9:19:14,123.4,SPOD
2021-02-06 9:19:44,123.24,SPOD
2021-02-06 9:20:14,123.05,SPOD
2021-02-06 9:20:44,123.02,SPOD
2021-02-06 9:21:14,122.71,SPOD
2021-02-06 9:21:44,122.57,SPOD
2021-02-06 9:22:14,122.67,SPOD
2021-02-06 9:22:45,122.61,SPOD
2021-02-06 9:23:15,122.58,SPOD
2021-02-06 9:23:45,122.66,SPOD
2021-02-06 9:24:15,122.61,SPOD
2021-02-06 9:24:45,122.69,SPOD
2021-02-06 9:25:16,122.81,SPOD
2021-02-06 9:25:46,122.93,SPOD
2021-02-06 9:26:16,123.21,SPOD
2021-02-06 9:26:46,123.42,SPOD
2021-02-06 9:27:16,123.54,SPOD
2021-02-06 9:27:47,123.48,SPOD
2021-02-06 9:28:17,123.53,SPOD
2021-02-06 9:28:47,123.54,SPOD
2021-02-06 9:29:18,123.56,SPOD
2021-02-06 9:29:48,123.44,SPOD
2021-02-06 9:30:18,123.44,SPOD
2021-02-06 9:30:48,123.4,SPOD
2021-02-06 9:31:18,123.3,SPOD
2021-02-06 9:31:49,123.49,SPOD
2021-02-06 9:32:33,123.75,SPOD
2021-02-06 9:33:03,124.48,SPOD
2021-02-06 9:33:33,126.59,SPOD
2021-02-06 9:34:04,128.72,SPOD
2021-02-06 9:34:34,128.03,SPOD
2021-02-06 9:35:04,129.01,SPOD
2021-02-06 9:35:34,128.33,SPOD
2021-02-06 9:36:04,127.48,SPOD
2021-02-06 9:36:34,126.96,SPOD
2021-02-06 9:37:04,126.28,SPOD
2021-02-06 9:37:34,126.05,SPOD
2021-02-06 9:38:05,126.22,SPOD
2021-02-06 9:38:36,126.96,SPOD
2021-02-06 9:39:06,127.03,SPOD
2021-02-06 9:39:36,126.11,SPOD
2021-02-06 9:40:06,125.63,SPOD
2021-02-06 9:40:36,124.46,SPOD
2021-02-06 9:41:06,123.65,SPOD
2021-02-06 9:41:36,123.37,SPOD
2021-02-06 9:42:06,123.44,SPOD
2021-02-06 9:42:36,123.94,SPOD
2021-02-06 9:43:07,124,SPOD
2021-02-06 9:43:37,123.99,SPOD
2021-02-06 9:44:07,124.15,SPOD
2021-02-06 9:44:37,124.13,SPOD
2021-02-06 9:45:07,123.69,SPOD
2021-02-06 9:45:37,122.95,SPOD
2021-02-06 9:46:07,123.33,SPOD
2021-02-06 9:46:37,123.07,SPOD
2021-02-06 9:47:07,123.13,SPOD
2021-02-06 9:47:39,123.43,SPOD
2021-02-06 9:48:23,123.26,SPOD
2021-02-06 9:48:53,122.93,SPOD
2021-02-06 9:49:24,122.57,SPOD
2021-02-06 9:49:54,122.4,SPOD
2021-02-06 9:50:24,122.04,SPOD
2021-02-06 9:50:55,121.91,SPOD
2021-02-06 9:51:25,122.04,SPOD
2021-02-06 9:51:55,122.05,SPOD
2021-02-06 9:52:25,122.28,SPOD
2021-02-06 9:52:55,122.25,SPOD
2021-02-06 9:53:25,122.09,SPOD
2021-02-06 9:53:55,121.91,SPOD
2021-02-06 9:54:26,121.71,SPOD
2021-02-06 9:54:56,121.48,SPOD
2021-02-06 9:55:26,121.54,SPOD
2021-02-06 9:55:56,121.28,SPOD
2021-02-06 9:56:26,120.89,SPOD
2021-02-06 9:56:56,121.1,SPOD
2021-02-06 9:57:26,120.55,SPOD
2021-02-06 9:57:56,120.62,SPOD
2021-02-06 9:58:26,120.42,SPOD
2021-02-06 9:58:57,120.03,SPOD
2021-02-06 9:59:27,119.66,SPOD
2021-02-06 9:59:57,119.8,SPOD
2021-02-06 10:00:28,120.04,SPOD
2021-02-06 10:00:58,120.12,SPOD
2021-02-06 10:01:28,119.96,SPOD
2021-02-06 10:01:58,119.86,SPOD
2021-02-06 10:02:28,119.77,SPOD
2021-02-06 10:02:58,119.82,SPOD
2021-02-06 10:03:29,119.73,SPOD
2021-02-06 10:04:11,119.76,SPOD
2021-02-06 10:04:41,119.68,SPOD
2021-02-06 10:05:12,119.4,SPOD
2021-02-06 10:05:42,119.16,SPOD
2021-02-06 10:06:12,118.87,SPOD
2021-02-06 10:06:42,119.01,SPOD
2021-02-06 10:07:12,119.46,SPOD
2021-02-06 10:07:42,120.04,SPOD
2021-02-06 10:08:12,120.54,SPOD
2021-02-06 10:08:42,120.93,SPOD
2021-02-06 10:09:12,121.03,SPOD
2021-02-06 10:09:42,120.92,SPOD
2021-02-06 10:10:13,120.72,SPOD
2021-02-06 10:10:43,120.38,SPOD
2021-02-06 10:11:13,120.24,SPOD
2021-02-06 10:11:43,120.42,SPOD
2021-02-06 10:12:13,119.99,SPOD
2021-02-06 10:12:43,119.4,SPOD
2021-02-06 10:13:14,119.01,SPOD
2021-02-06 10:13:44,118.81,SPOD
2021-02-06 10:14:14,118.81,SPOD
2021-02-06 10:14:45,118.78,SPOD
2021-02-06 10:15:15,119.32,SPOD
2021-02-06 10:15:45,119.6,SPOD
2021-02-06 10:16:15,119.76,SPOD
2021-02-06 10:16:45,120.14,SPOD
2021-02-06 10:17:15,120.31,SPOD
2021-02-06 10:17:45,120.39,SPOD
2021-02-06 10:18:15,120.51,SPOD
2021-02-06 10:18:45,120.57,SPOD
2021-02-06 10:19:17,120.58,SPOD
2021-02-06 10:20:02,120.71,SPOD
2021-02-06 10:20:32,121.22,SPOD
2021-02-06 10:21:03,121.56,SPOD
2021-02-06 10:21:33,121.9,SPOD
2021-02-06 10:22:03,122.17,SPOD
2021-02-06 10:22:33,122.34,SPOD
